id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201511309349300101	1497037	1662451	1662451		0	0
201502379349300700	145188	102101	102101		110	1433
201510589349100606						
201522299349303837	0	0			1912	1822
201530379349200118						
201542299349302169	238650	341353	341353		235	296
201502379349300730	28629	171709	171709		49	5446
201542189349301209	135650	132175	132175		1554	4227
201521119349300032	583320	588106	588106		138	265
201531329349201438				10000		
201502379349300860	77245	66967	66967			0
201512019349100316						
201531349349301873	1685	3118	3118		0	0
201502379349300910	125000	669662	669662		0	0
201502209349300600	1264500	553798	553798			0
201522739349300442		0	0		42433	35338
201531559349300233	207660	196963	196963			0
201520669349300507		0				0
201532119349301358	288965	305045	305045		132997	126921
201542159349200729			RESTRICTED	71995		
201512719349300861		0				15
201501669349200330				10000		
201532299349304088	281895	791728	791728			0
201511879349200111						
201500479349301650	318779	7214587	7214587		17035	58206
201501969349301625	0	0			63547	98107
201531489349100608						
201520359349300542	187764	197281	197281		2703	7392
201512649349300011	0	0			4504	2992
201522619349300007		0				11078
201522169349300812						
201522619349300127	0	0			37211	2099
201521349349201657				6523		
201510749349200101				139516		
201522679349300412	0	0			0	0
201522679349300517	109756	109985	109985		256	268
201522679349300722	4870	6097	6097		23	12
201502279349200640				71210		
201541969349200409						
201541349349308624	26913988	26964414	26964414		138	0
201501339349201755				4905		
201522669349200002				20384		
201542179349300984		0			735	2084
201500299349200110						
201512409349300016		0			165	0
201522669349200117				70755		
201512089349200761			RESTRICTED	30		
201511249349100101						
201531319349200503						
201522669349200222						
201501289349302150		0	0		405757	54999648
201542659349200504				116795		
201512269349202436						
201541749349200524				75788		
201532129349100708						
201511259349301341		0			1014	12546
201521879349300927	957	310	310		2039	2009
201501399349200405						
201512659349200001				16520		
201521359349308022	56936	27717	27717		16	14
201501329349200320						
201520759349200627			RESTRICTED	38500		
201501359349204670			RESTRICTED	27333		
201542119349100609						
201501609349300475	396850	695925	695925		0	0
201511349349100701						
201512669349300441	250000	228000	228000			0
201511349349307801	0	0	0		0	0
201501359349300900	0	0			0	0
201500479349300000	494317	470917	470917		48327	56024
201541329349201589						
201510419349301976	2916074	3106694	3106694		3762	1802
201511359349306991	365076	408035	408035			0
201532309349200123				48041		
201542679349100704						
201530709349200023				447		
201522659349300802	124928	183757	183757			0
201542189349200214			RESTRICTED	66527		
201500099349300135	212219	688457	688457		262	713
201520449349100707						
201511499349200101			RESTRICTED	84344		
201511549349300501	56521	62115	62115		39	0
201521359349309077	279311	425313	425313		170	165
201532309349301088	0	0	0		90522	108260
201521359349204567				11112		
201512309349300531	16184	22958	22958		1681	20122
201521289349302477	2189844	2705696	2705696		176	150
201521229349200507			RESTRICTED	27630		
201531269349200428				4270		
201512109349200546				0		
201511559349200806				12059		
201541339349200524				1402		
201512659349300311	238368	464531	464531			0
201541339349102179						
201541359349204629						
201501779349200210			RESTRICTED	69436		
201532089349200618				0		
201531429349200718			RESTRICTED	129192		
201522649349300602	443618	566626	566626		73	74
201542639349300204	394477	184942	184942		71	32
201511349349305076	0	0			156	138
201521289349301247	200590	207152	207152		199	58
201511389349200246			RESTRICTED	16700		
201511349349300416	0	0			0	0
201531339349302433	159205	186764	186764			0
201541909349200034			RESTRICTED	30927		
201511339349101856			25000			
201530309349300018	162718	146832	146832			0
201521899349301152		0	0		1285	242
201522169349200617				600		
201501979349300515	142985	151537	151537		829	89
201532269349303908		0	0			0
201541479349300139	123746	109990	109990		371	320
201531329349300833	0	88341	88341		58180	59945
201532129349300943	51344	12901	12901		22	22
201542279349200139						
201531809349300803		0			232949	244406
201531359349201083				1075		
201542279349200429				78662		
201541259349201179			RESTRICTED	87438		
201521339349201332				5700		
201501289349300900	39006808	13811966	13811966		1446528	692785
201532299349101173						
201500129349200335				18707		
201512239349301411	5947	4055	4055		31	52
201542269349201034				6635		
201541529349300549	188944	162775	162775		221	185
201532299349202763				18194		
201521479349300732	92915	330036	330036		1418	167
201541319349200914			RESTRICTED			
201511349349308281	68149	55270	55270		3460	3396
201542279349200724						
201531359349300733	1337434	1412973	1412973		3545	3165
201542019349301054	5100	4100	4100		9581	817
201501109349300400		0	0			33663
201532659349300118	310485	328688	328688		72	100
201511899349300606	408220	366003	366003		0	0
201530859349200123				8966		
201531129349300138	1292012	992118	992118		1634	5585
201502269349200200			RESTRICTED	91302		
201541259349100524			111320			
201530579349300323	19564	87274	87274		762	565
201511359349300736		0	0			0
201541359349306709	2927933	2727555	2727555		19416	21977
201531349349302493	111700	198747	198747		6511	6730
201521349349307577	152851	134492	134492		32	15
201532299349100043			181272			
201532519349300028	78118	117450	117450		7700	-130599
201510549349300661	0	0			33310	52166
201521359349201717			RESTRICTED	77851		
201521639349200327				42678		
201501219349100600						
201532299349302438	0	0	0		0	6651
201541349349304459	83408170	93355658	93355658		30929	113839
201502269349303570	57220	453252	453252		95613	133524
201511219349301006	111207	189260	189260		1	1
201541959349300809	371132	205868	205868		3978	125
201511349349102041						
201532299349304308	23085	7817	7817		5607	12469
201532259349301298	43191	43804	43804		54	71
201501749349100315						
201542229349301514		0	0		104959	-9799
201511349349204791				160027		
201522669349300632	0	26420	26420		84	68
201512189349301391	9600	5203	5203			0
201521839349100132			10000			
201510349349301321	3223403	3510135	3510135		0	29851
201542239349300224	83912	133069	133069		24331	15703
201511699349300426	445	0			197	145
