id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201511349349305076	0	0			156	138
201521289349301247	200590	207152	207152		199	58
201511349349300416	0	0			0	0
201501979349300515	142985	151537	151537		829	89
201541479349300139	123746	109990	109990		371	320
201531329349300833	0	88341	88341		58180	59945
201532129349300943	51344	12901	12901		22	22
201501289349300900	39006808	13811966	13811966		1446528	692785
201512239349301411	5947	4055	4055		31	52
201541529349300549	188944	162775	162775		221	185
201521479349300732	92915	330036	330036		1418	167
201511349349308281	68149	55270	55270		3460	3396
201531359349300733	1337434	1412973	1412973		3545	3165
201542019349301054	5100	4100	4100		9581	817
201532659349300118	310485	328688	328688		72	100
201511899349300606	408220	366003	366003		0	0
201531129349300138	1292012	992118	992118		1634	5585
201530579349300323	19564	87274	87274		762	565
201541359349306709	2927933	2727555	2727555		19416	21977
201531349349302493	111700	198747	198747		6511	6730
201521349349307577	152851	134492	134492		32	15
201532519349300028	78118	117450	117450		7700	-130599
201510549349300661	0	0			33310	52166
201532299349302438	0	0	0		0	6651
201541349349304459	83408170	93355658	93355658		30929	113839
201502269349303570	57220	453252	453252		95613	133524
201511219349301006	111207	189260	189260		1	1
201541959349300809	371132	205868	205868		3978	125
201532299349304308	23085	7817	7817		5607	12469
201532259349301298	43191	43804	43804		54	71
201522669349300632	0	26420	26420		84	68
201510349349301321	3223403	3510135	3510135		0	29851
201542239349300224	83912	133069	133069		24331	15703
201511699349300426	445	0			197	145
201522389349300242	4267998	2186623	2186623		57903	213331
201502269349300105	295077034	159546959	159546959		74931561	-67117698
201531709349300238	0	0	0		47036	53124
201531329349301013	1287952	4230430	4230430		392	426
201532369349300608	2265111	2042276	2042276		1097	1882
201541209349301359	9227555	3866447	3866447		4275669	4226054
201531629349300008	208584	218250	218250		620	386
201532459349300913	98669	123113	123113		2445	582
201532249349302663	741483	898650	898650		0	86
201512409349300101	3838405	2614352	2614352		52543	78478
201521359349303107	295596	110000	110000		3256	10292
201522299349303912	59242	838810	838810		16	41
201512269349303501	1370914	842210	842210		462	485
201520899349300407	2414046	2394088	2394088		230451	414682
201502669349300425	153512	153971	153971		182	235
201502669349300445	2726	7626	7626		583	118
201502669349300500	182600	138587	138587		15525	7945
201510569349300226	0	0			10474	10583
201502669349300535	875394	988315	988315		75	74
201502669349300600	7500	2500	2500		1	2
201521359349300342	53840	49292	49292		19500	-722
201502669349300610	479663	102903	102903		12593	11130
201541339349304659	644113	688331	688331		698	1271
201502179349300610	972656	918986	918986		659	131
201502669349300645	3240	3240	3240		492	139
201530369349301203	11363305	12988188	12988188		26129	13930
201501319349301535	2900000	4490000	4490000		1060	4401
201522669349301102	5411	20822	20822		121	1022
201532669349300003	445074	407608	407608		42603	55052
201532669349300023	2857277	2825724	2825724		105495	88108
201532669349300108	0	0			0	0
201532729349300308	26715	26050	26050		358766	806476
201531769349300448	109517	58291	58291		234	184
201501349349305220	8357	8572	8572		626	406
